time,a,b,C,t,a_after,b_after
292,168,35,,292,168,35
293,168.7,35,,293,168.7,35
294,168.5,35,,294,168.5,35
295,168.7,35,,295,168.7,35
296,168.4,35,,296,168.4,35
297,169,35,,297,169,35
298,169,35,,298,169,35
299,169,35,,299,169,35
300,168.8,35,,300,168.8,35
301,169.2,34.98,,301,169.2,34.98
302,168.9,35,,302,168.9,35
303,169,35,,303,169,35
304,169,35,,304,169,35
305,169,35,,305,169,35
306,169,35,,306,169,35
307,169,35,,307,169,35
308,168.1,35,,308,168.1,35
309,168,35,,309,168,35
310,169.2,35,,310,169.2,35
311,168.9,35,,311,168.9,35
312,168.4,35,,312,168.4,35
313,168,35,,313,168,35
314,168,35,,314,168,35
315,168.8,35,,315,168.8,35
316,168.1,35,,316,168.1,35
317,168,35,,317,168,35
318,168,35,,318,168,35
319,168,35,,319,168,35
320,168.8,35,,320,168.8,35
321,168.6,35,,321,168.6,35
322,168.7,35,,322,168.7,35
323,169,35,,323,169,35
324,169,35,,324,169,35
325,168.8,35,,325,168.8,35
326,168.6,35,,326,168.6,35
327,168.8,35,,327,168.8,35
328,167.6,35,,328,167.6,35
329,168.4,35,,329,168.4,35
330,168.5,35,,330,168.5,35
331,168,35,,331,168,35
332,168,35,,332,168,35
333,168,35,,333,168,35
334,169.2,35,,334,169.2,35
335,168.3,35,,335,168.3,35
336,168.1,35,,336,168.1,35
337,169.3,35,,337,169.3,35
338,170.1,35,,338,170.1,35
339,169.7,35,,339,169.7,35
340,168.7,35,,340,168.7,35
341,169,35,,341,169,35
342,169,35,,342,169,35
343,169.1,35,,343,169.1,35
344,169.7,35,,344,169.7,35
345,168.7,35,,345,168.7,35
346,169.5,35,,346,169.5,35
347,169.2,35,,347,169.2,35
348,168.9,35,,348,168.9,35
349,169,35,,349,169,35
350,169,35,,350,169,35
351,169,35,,351,169,35
352,169,35,,352,169,35
353,168.8,35,,353,168.8,35
354,167.9,35,,354,167.9,35
355,168.1,35,,355,168.1,35
356,169.3,35,,356,169.3,35
357,168.8,35,,357,168.8,35
358,168.7,35,,358,168.7,35
359,169.3,35,,359,169.3,35
360,169,35,,360,169,35
361,169.3,34.98,,361,169.3,34.98
362,169.2,35,,362,169.2,35
363,168.8,35,,363,168.8,35
364,168.6,35,,364,168.6,35
365,168.4,35,,365,168.4,35
366,168.6,35,,366,168.6,35
367,168.8,35,,367,168.8,35
368,168.7,35,,368,168.7,35
369,169,35,,369,169,35
370,169,35,,370,169,35
371,168.4,35,,371,168.4,35
372,168.9,35,,372,168.9,35
373,168.7,35,,373,168.7,35
374,168.6,35,,374,168.6,35
375,169.3,35,,375,169.3,35
376,169.6,35,,376,169.6,35
